ID,name,releasedate,Asynchronous Multiplayer,Co-op,Co-op Campaign,Competitive,Local Co-Op,Local Multiplayer,Multiplayer,Online Co-Op,Party-Based RPG,PvE,PvP,Replay Value,Singleplayer,free_to_play,Casual,RPG,Massively_Multiplayer
4580,"Warhammer 40,000: Dawn of War - Dark Crusade",07-Nov-08,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
360170,How to Survive 2,08-Sep-16,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0
538680,The Legend of Heroes: Trails of Cold Steel,02-Aug-17,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
65800,Dungeon Defenders,18-Oct-11,0,1,0,0,1,1,1,1,0,0,0,0,1,0,0,1,0
734580,BattleRush,27-Mar-18,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1
254700,resident evil 4 / biohazard 4,27-Feb-14,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
420,Half-Life 2: Episode Two,10-Oct-07,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
257510,The Talos Principle,11-Dec-14,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
20510,S.T.A.L.K.E.R.: Clear Sky,15-Sep-08,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0
24720,Spore: Galactic Adventures,26-Jun-09,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0
321360,Primal Carnage: Extinction,03-Apr-15,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1
290340,Armello,01-Sep-15,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0
555920,Dark Egypt,07-Feb-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
282800,100% Orange Juice,16-May-14,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0
493490,City Car Driving,03-Nov-16,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0
400040,ShareX,02-Oct-15,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
622650,Bendy and the Ink Machine,27-Apr-17,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
78000,Bejeweled 3,07-Dec-10,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
460790,Bayonetta,11-Apr-17,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
219780,Divinity II: Developer's Cut,29-Oct-12,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
40950,Stronghold HD,21-Oct-13,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
443110,Armored Warfare,17-Nov-17,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1
355790,Styx: Shards of Darkness,14-Mar-17,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0
